ID,first_name,last_name,DOB
F1201,James,Butt,1/2/2000
F1202,Josephine,Darakjy,4/3/1999
F1203,Art,Venere,12/7/1998
F1204,Lenna,Paprocki,1/9/2000
F1205,Donette,Foller,4/10/1999
F1206,Simona,Morasca,12/14/1998
F1207,Mitsue,Tollner,1/16/2000
F1208,Leota,Dilliard,4/17/1999
F1209,Sage,Wieser,12/21/1998
F1210,Kris,Marrier,1/23/2000
F1211,Minna,Amigon,4/24/1999
F1212,Abel,Maclead,12/28/1998
F1213,Kiley,Caldarera,1/30/2000
F1214,Graciela,Ruta,5/1/1999
F1215,Cammy,Albares,1/4/1999
F1216,Mattie,Poquette,2/6/2000
F1217,Meaghan,Garufi,5/8/1999
F1218,Gladys,Rim,1/11/1999
F1219,Yuki,Whobrey,2/13/2000
F1220,Fletcher,Flosi,5/15/1999
F1221,Bette,Nicka,1/18/1999
F1222,Veronika,Inouye,2/20/2000
F1223,Willard,Kolmetz,5/22/1999
F1224,Maryann,Royster,1/25/1999
F1225,Alisha,Slusarski,2/27/2000
F1226,Allene,Iturbide,5/29/1999
F1227,Chanel,Caudy,2/1/1999
F1228,Ezekiel,Chui,3/5/2000
F1229,Willow,Kusko,6/5/1999
F1230,Bernardo,Figeroa,2/8/1999
F1231,Ammie,Corrio,3/12/2000
F1232,Francine,Vocelka,6/12/1999
F1233,Ernie,Stenseth,2/15/1999
F1234,Albina,Glick,3/19/2000
F1235,Alishia,Sergi,6/19/1999
F1236,Solange,Shinko,2/22/1999
F1237,Jose,Stockham,3/26/2000
F1238,Rozella,Ostrosky,6/26/1999
F1239,Valentine,Gillian,3/1/1999
F1240,Kati,Rulapaugh,4/2/2000
F1241,Youlanda,Schemmer,7/3/1999
F1242,Dyan,Oldroyd,3/8/1999
F1243,Roxane,Campain,4/9/2000
F1244,Lavera,Perin,7/10/1999
F1245,Erick,Ferencz,3/15/1999
F1246,Fatima,Saylors,4/16/2000
F1247,Jina,Briddick,7/17/1999
F1248,Kanisha,Waycott,3/22/1999
F1249,Emerson,Bowley,4/23/2000
F1250,Blair,Malet,7/24/1999
F1251,Brock,Bolognia,3/29/1999
F1252,Lorrie,Nestle,4/30/2000
F1253,Sabra,Uyetake,7/31/1999
F1254,Marjory,Mastella,4/5/1999
F1255,Karl,Klonowski,5/7/2000
F1256,Tonette,Wenner,8/7/1999
F1257,Amber,Monarrez,4/12/1999
F1258,Shenika,Seewald,5/14/2000
F1259,Delmy,Ahle,8/14/1999
F1260,Deeanna,Juhas,4/19/1999
F1261,Blondell,Pugh,5/21/2000
F1262,Jamal,Vanausdal,8/21/1999
F1263,Cecily,Hollack,4/26/1999
F1264,Carmelina,Lindall,5/28/2000
F1265,Maurine,Yglesias,8/28/1999
F1266,Tawna,Buvens,5/3/1999
F1267,Penney,Weight,6/4/2000
F1268,Elly,Morocco,9/4/1999
F1269,Ilene,Eroman,5/10/1999
F1270,Vallie,Mondella,6/11/2000
F1271,Kallie,Blackwood,9/11/1999
F1272,Johnetta,Abdallah,5/17/1999
F1273,Bobbye,Rhym,6/18/2000
F1274,Micaela,Rhymes,9/18/1999
F1275,Tamar,Hoogland,5/24/1999
F1276,Moon,Parlato,6/25/2000
F1277,Laurel,Reitler,9/25/1999
F1278,Delisa,Crupi,5/31/1999
F1279,Viva,Toelkes,7/2/2000
F1280,Elza,Lipke,10/2/1999
F1281,Devorah,Chickering,6/7/1999
F1282,Timothy,Mulqueen,7/9/2000
F1283,Arlette,Honeywell,10/9/1999
F1284,Dominque,Dickerson,6/14/1999
F1285,Lettie,Isenhower,7/16/2000
F1286,Myra,Munns,10/16/1999
F1287,Stephaine,Barfield,6/21/1999
F1288,Lai,Gato,7/23/2000
F1289,Stephen,Emigh,10/23/1999
F1290,Tyra,Shields,6/28/1999
F1291,Tammara,Wardrip,7/30/2000
F1292,Cory,Gibes,10/30/1999
F1293,Danica,Bruschke,7/5/1999
F1294,Wilda,Giguere,8/6/2000
F1295,Elvera,Benimadho,11/6/1999
F1296,Carma,Vanheusen,7/12/1999
F1297,Malinda,Hochard,8/13/2000
F1298,Natalie,Fern,11/13/1999
F1299,Lisha,Centini,7/19/1999
F1300,Arlene,Klusman,8/20/2000
F1301,Alease,Buemi,11/20/1999
F1302,Louisa,Cronauer,7/26/1999
F1303,Angella,Cetta,8/27/2000
F1304,Cyndy,Goldammer,11/27/1999
F1305,Rosio,Cork,8/2/1999
F1306,Celeste,Korando,9/3/2000
F1307,Twana,Felger,12/4/1999
F1308,Estrella,Samu,8/9/1999
F1309,Donte,Kines,9/10/2000
F1310,Tiffiny,Steffensmeier,12/11/1999
F1311,Edna,Miceli,8/16/1999
F1312,Sue,Kownacki,9/17/2000
F1313,Jesusa,Shin,12/18/1999
F1314,Rolland,Francescon,8/23/1999
F1315,Pamella,Schmierer,9/24/2000
F1316,Glory,Kulzer,12/25/1999
F1317,Shawna,Palaspas,8/30/1999
F1318,Brandon,Callaro,10/1/2000
F1319,Scarlet,Cartan,1/1/2000
F1320,Oretha,Menter,9/6/1999
F1321,Ty,Smith,10/8/2000
F1322,Xuan,Rochin,1/8/2000
